customer_id,name,email,phone,city,country
1,Daniel Harris,daniel_harris7@live.com,7516965686,Jaipur,India
2,Sophia Garcia,sophiagarcia@aol.com,9975245977,Delhi,India
3,Harper Martin,harper_martin91@live.com,8075284626,Sydney,Australia
4,Noah Williams,noah_williams27@live.com,7986276864,Sydney,Australia
5,James Miller,jmiller588@proton.me,6770198760,Berlin,Germany
6,Liam Smith,liamsmith@yahoo.com,6530247670,Kolkata,India
7,Grace Clark,grace_clark85@live.com,7224762429,London,United Kingdom
8,Harper Martin,harper_martin77@proton.me,8432023609,Lucknow,India
9,James Miller,james.miller@outlook.com,9134200499,Chennai,India
10,Grace Clark,grace.clark@outlook.com,9195220723,Melbourne,Australia
11,Mia Wilson,mia_wilson94@live.com,9430539932,Sydney,Australia
12,Noah Williams,noahwilliams@hotmail.com,7816782461,Bengaluru,India
13,Olivia Johnson,oliviajohnson@gmail.com,9642599892,London,United Kingdom
14,Lucas Taylor,lucastaylor@outlook.com,8192622364,Jaipur,India
15,Ava Jones,ajones905@icloud.com,6813610704,Chennai,India
16,Grace Clark,grace.clark@outlook.com,9976722264,Mumbai,India
17,Liam Smith,lsmith165@outlook.com,7654032348,Pune,India
18,Grace Clark,grace.clark@yahoo.com,8801020175,Bengaluru,India
19,Amelia Anderson,ameliaanderson@icloud.com,8874119140,Pune,India
20,Ava Jones,ajones484@yahoo.com,6015772957,Manchester,United Kingdom
21,Ella Thompson,ethompson110@aol.com,8270542289,Delhi,India
22,Lucas Taylor,ltaylor991@aol.com,9143792218,Toronto,Canada
23,Daniel Harris,dharris106@aol.com,6773787367,Jaipur,India
24,Noah Williams,noah.williams@proton.me,6962452197,Kolkata,India
25,Ella Thompson,ethompson298@aol.com,6448526332,Pune,India
26,Ava Jones,avajones@yahoo.com,9568851666,Pune,India
27,Evelyn Jackson,evelyn.jackson@gmail.com,9348005616,Toronto,Canada
28,Olivia Johnson,oliviajohnson@aol.com,6096283146,New York,USA
29,Henry Thomas,henrythomas@outlook.com,9226281928,Berlin,Germany
30,Liam Smith,lsmith200@gmail.com,9275481403,Manchester,United Kingdom
31,David Martinez,davidmartinez@proton.me,9824562951,Sydney,Australia
32,Henry Thomas,hthomas606@live.com,6435455305,Jaipur,India
33,Benjamin Davis,benjamin_davis46@live.com,8915735279,Mumbai,India
34,James Miller,jamesmiller@aol.com,8899062142,Toronto,Canada
35,Michael White,michael.white@hotmail.com,7987287102,Bengaluru,India
36,Emma Brown,ebrown749@aol.com,6922032444,Hyderabad,India
37,Harper Martin,hmartin816@yahoo.com,8177814736,Delhi,India
38,Olivia Johnson,ojohnson252@yahoo.com,7174826908,Mumbai,India
39,Charlotte Moore,cmoore44@proton.me,9321794459,Delhi,India
40,Liam Smith,lsmith975@aol.com,6170702543,Los Angeles,USA
41,Noah Williams,noah_williams97@icloud.com,8448019335,Kolkata,India
42,Lucas Taylor,ltaylor989@proton.me,7927555324,Sydney,Australia
43,Mia Wilson,mia.wilson@outlook.com,8901634564,Hyderabad,India
44,Olivia Johnson,olivia.johnson@proton.me,9468321023,Chennai,India
45,Evelyn Jackson,ejackson810@icloud.com,8893247908,Hyderabad,India
46,Harper Martin,harpermartin@outlook.com,7332478050,Hyderabad,India
47,Ella Thompson,ella_thompson7@gmail.com,6742893784,London,United Kingdom
48,Evelyn Jackson,ejackson94@hotmail.com,7781799936,Chennai,India
49,Sophia Garcia,sgarcia980@aol.com,7869187253,Los Angeles,USA
50,Michael White,michael_white26@gmail.com,8865138579,Pune,India
